CASE# 1:
CASE# 2:
3205 not found
4816 not found
5921 not found
9260 not found
1382 not found
796 not found
7335 not found
911 not found
6729 not found
2196 not found
6346 not found
3712 not found
3333 not found
1733 not found
3101 not found
4995 not found
24 not found
6973 not found
1882 not found
6551 not found
4019 not found
2239 not found
8691 not found
4884 not found
3451 not found
1294 not found
8578 not found
2611 not found
5355 not found
3703 not found
3731 not found
1254 not found
7220 not found
7959 not found
4532 not found
6768 not found
7801 not found
5151 not found
7410 not found
461 not found
7798 not found
5722 not found
5680 not found
7761 not found
9552 not found
7398 not found
6650 not found
6837 not found
7345 not found
8160 not found
8942 not found
4780 not found
8040 not found
4092 not found
6211 not found
8522 not found
1050 not found
4199 not found
1887 not found
6723 not found
6633 not found
1049 not found
6417 not found
9063 not found
5159 not found
5993 not found
2026 not found
3075 not found
445 not found
3050 not found
439 not found
6837 not found
9293 found at 462
6936 not found
9786 not found
6968 not found
296 not found
3999 not found
7209 not found
6906 not found
3962 not found
7728 not found
8671 not found
5723 not found
3793 not found
8613 not found
5202 not found
5514 not found
6688 not found
8966 not found
1726 not found
5653 not found
4741 not found
9290 not found
5347 not found
9470 not found
549 not found
6873 not found
7614 not found
1824 not found
2875 not found
6172 not found
9435 not found
7624 not found
9768 not found
85 not found
6796 not found
7356 not found
2223 not found
8793 not found
4567 not found
9502 not found
7833 not found
3593 not found
8229 not found
683 not found
6769 not found
9930 not found
9599 not found
350 not found
838 not found
9368 not found
8096 not found
7763 not found
6977 not found
4395 not found
576 not found
6566 not found
8509 not found
2497 not found
9799 not found
1683 not found
450 not found
9798 not found
495 not found
1628 not found
7443 not found
1973 not found
7625 not found
33 not found
5667 not found
1544 not found
6511 not found
2262 not found
8317 not found
8611 not found
193 not found
785 not found
2248 not found
7048 not found
247 not found
307 not found
8516 not found
8973 not found
8452 found at 423
8667 not found
4471 not found
7463 not found
8339 not found
4584 not found
5338 found at 279
4144 not found
6145 not found
5540 not found
6055 not found
8559 not found
188 not found
3516 not found
9413 not found
8300 not found
1219 not found
8427 not found
9047 not found
3832 not found
3053 not found
2922 found at 159
9979 not found
2177 not found
8220 not found
9988 not found
4190 not found
7570 not found
351 not found
9988 not found
1491 not found
4881 not found
491 not found
9821 not found
8350 not found
4990 not found
6129 not found
5712 not found
2935 not found
2983 not found
1877 not found
8364 not found
753 found at 42
1564 found at 90
8458 not found
3109 not found
8804 not found
579 found at 33
5827 not found
2557 not found
1261 not found
8733 not found
6674 not found
4364 not found
4557 not found
1704 not found
3348 not found
758 not found
8719 not found
9090 not found
8512 not found
9585 not found
5949 not found
9015 not found
2099 not found
7197 found at 371
818 not found
2331 not found
6116 not found
1420 not found
2181 not found
2705 not found
710 not found
115 not found
8448 not found
3997 not found
6855 not found
5277 not found
4620 not found
7968 not found
5229 not found
3386 not found
9162 not found
5812 not found
1978 not found
7585 not found
5226 not found
7929 found at 398
1540 not found
5953 not found
7716 not found
3581 not found
7686 not found
8008 not found
5141 not found
6732 not found
6730 not found
8104 not found
2755 not found
4311 not found
8842 not found
5765 not found
1650 not found
8186 not found
6360 not found
6352 not found
8660 not found
7131 not found
7913 found at 397
4148 not found
3183 not found
2801 not found
9117 not found
2790 not found
7264 not found
4705 not found
5116 not found
6195 not found
7617 not found
5489 not found
7996 not found
7895 not found
878 not found
5858 found at 303
2878 not found
7541 found at 380
6068 not found
9890 not found
7287 not found
773 not found
5156 not found
6253 not found
3134 not found
200 not found
1864 not found
4066 not found
7960 not found
814 not found
1025 not found
8597 not found
2858 not found
33 not found
8634 not found
8423 not found
4656 found at 243
6888 not found
891 not found
5044 not found
389 not found
7317 not found
751 not found
6747 not found
4893 not found
3727 not found
7029 not found
8230 not found
5008 not found
1633 not found
3958 not found
1227 not found
2117 not found
5765 not found
3963 not found
6352 not found
9703 not found
4589 not found
4596 not found
1425 not found
5948 not found
5805 not found
9623 not found
2521 not found
941 not found
477 not found
4490 not found
7461 not found
5052 not found
3908 not found
6774 not found
5586 not found
8030 not found
2825 not found
3038 not found
9276 not found
9908 not found
6923 not found
4378 not found
9601 not found
3119 not found
1837 not found
7990 not found
4104 not found
8798 not found
7659 not found
7167 not found
5025 not found
4081 not found
6587 not found
9955 not found
4487 not found
7340 not found
3367 not found
9558 not found
5718 not found
626 not found
1176 not found
6316 not found
3312 not found
2951 not found
6015 found at 312
5158 not found
231 not found
3069 not found
9072 not found
4752 not found
8451 not found
5749 not found
2555 not found
6091 not found
3686 found at 201
1041 not found
4898 not found
5036 found at 261
1851 found at 99
310 not found
7680 not found
8738 not found
5110 not found
5555 not found
418 not found
358 not found
3482 not found
9388 not found
8408 not found
9813 not found
2270 not found
3094 not found
5059 not found
5063 not found
347 not found
4111 not found
2313 not found
5506 not found
4132 not found
7249 not found
8654 not found
7320 not found
685 not found
7992 not found
7571 not found
6031 not found
5031 not found
4615 not found
7556 found at 381
9994 not found
83 not found
3775 not found
817 not found
6165 not found
50 not found
9023 not found
641 not found
4842 not found
5744 not found
1624 not found
6662 not found
7223 not found
955 not found
21 not found
7882 not found
3267 not found
2410 not found
3035 not found
9375 not found
3100 not found
8068 not found
8531 not found
6024 not found
5426 not found
8318 not found
1873 not found
4110 not found
4502 not found
1262 not found
8043 not found
3745 not found
6015 found at 312
9088 not found
9009 not found
3577 not found
4011 not found
7896 not found
256 not found
4584 not found
4501 not found
7329 not found
9063 not found
9115 not found
8632 not found
5494 not found
4742 not found
1399 not found
2531 not found
967 not found
708 not found
5596 not found
3489 found at 191
4382 not found
9960 found at 495
CASE# 4:
4547 not found
1918 not found
8665 not found
8038 not found
6194 not found
2485 not found
915 not found
4159 not found
4544 not found
6886 not found
3784 not found
3297 not found
8117 not found
4492 not found
7805 not found
2646 not found
2036 not found
7030 not found
1002 not found
8098 found at 158
4203 not found
6205 not found
3169 not found
1208 not found
1914 not found
7303 not found
2373 not found
2264 not found
128 not found
6336 not found
8940 not found
6093 not found
4180 not found
4103 not found
6537 found at 134
9519 not found
83 not found
1833 not found
8108 not found
2394 not found
9221 not found
2121 not found
1504 not found
8648 not found
8953 not found
1018 not found
5060 not found
1238 not found
4729 not found
128 not found
7497 not found
1012 not found
6003 not found
2956 not found
3415 not found
5148 not found
9759 not found
6207 not found
8800 not found
2216 not found
2498 not found
2197 not found
5002 not found
4678 not found
6311 not found
2186 not found
1619 not found
8368 not found
1579 not found
1746 not found
58 not found
7446 not found
1584 not found
5478 not found
8490 not found
788 not found
2408 not found
1534 not found
8013 not found
8269 not found
4495 found at 86
8874 not found
7311 not found
3187 not found
2038 not found
8299 not found
3800 not found
811 not found
2673 not found
856 not found
4494 not found
4362 not found
1471 not found
5244 not found
3213 not found
6826 not found
7943 not found
359 not found
4589 not found
7780 not found
9260 not found
1099 not found
5644 not found
5237 not found
1414 not found
7159 not found
9447 not found
1533 not found
1170 not found
6260 found at 125
4577 not found
3868 not found
4249 not found
460 not found
1289 not found
7197 not found
4835 not found
4309 not found
2519 not found
1880 not found
2975 not found
3058 not found
6289 not found
9447 not found
7146 not found
6016 not found
6642 not found
6099 not found
2027 not found
2383 not found
6529 not found
6259 not found
7867 not found
9045 not found
6403 not found
9001 not found
2074 not found
4534 not found
7051 not found
6860 not found
477 not found
2083 not found
8562 not found
8350 not found
7406 not found
2715 not found
6940 not found
5062 not found
5665 not found
3741 not found
4413 not found
1056 not found
5868 not found
2051 not found
2944 not found
9741 not found
7367 not found
4545 not found
4729 not found
8247 not found
1503 not found
831 not found
5845 not found
9588 not found
7608 not found
4762 not found
5074 not found
3062 found at 53
523 not found
8778 not found
5615 not found
3289 not found
3641 not found
3030 not found
8132 not found
8596 not found
4549 not found
137 not found
8112 not found
9927 not found
3 not found
8487 not found
2434 found at 47
8741 not found
2756 not found
5804 not found
4458 not found
1076 not found
6639 not found
5411 not found
6920 not found
6915 not found
9645 not found
4951 not found
8404 not found
1557 not found
4661 not found
2965 not found
121 not found
3024 not found
6531 not found
3256 not found
9787 not found
8272 not found
9031 not found
4803 not found
327 not found
1521 not found
2058 not found
6802 not found
206 not found
8659 not found
6823 not found
5128 not found
9175 not found
7997 not found
9318 not found
7829 not found
4849 not found
1342 not found
200 not found
233 not found
4158 not found
9117 not found
788 not found
5301 not found
1820 found at 36
651 not found
9227 not found
934 not found
3337 not found
8742 not found
7644 not found
5319 not found
9805 not found
6114 not found
365 not found
876 not found
2073 not found
749 not found
6399 not found
3767 not found
7136 not found
5233 not found
7878 not found
7936 not found
2249 not found
8559 not found
2473 not found
2613 not found
3953 not found
8242 not found
2958 not found
3559 not found
1049 not found
8318 not found
1269 not found
2578 not found
7255 not found
7901 not found
329 not found
1031 not found
27 not found
5438 not found
7922 not found
3898 not found
8399 not found
6712 not found
934 not found
7571 not found
7036 not found
5424 not found
8383 not found
6926 not found
9013 not found
9093 not found
9316 not found
1412 not found
4467 not found
3501 not found
8001 not found
7977 not found
3380 not found
6111 not found
8484 not found
7806 not found
875 not found
9925 not found
6776 not found
2766 not found
7505 not found
4555 not found
2826 not found
1806 not found
9096 not found
8134 not found
1089 not found
4726 not found
9868 not found
735 not found
5849 not found
2817 not found
8691 not found
382 not found
6908 not found
8262 not found
4837 not found
8920 not found
2812 not found
6186 not found
2137 not found
6708 not found
3953 not found
3881 not found
6532 not found
7852 not found
7966 not found
2172 not found
7444 not found
7243 not found
9658 not found
5383 not found
1724 not found
6383 not found
6806 not found
8999 found at 175
2994 not found
4298 not found
4544 not found
8978 not found
1917 not found
447 not found
9564 not found
4171 not found
4997 not found
9298 not found
3360 not found
8996 not found
8314 not found
9839 not found
502 not found
3458 not found
9412 not found
1467 not found
8506 not found
8048 not found
5315 not found
545 not found
9174 not found
2863 not found
47 not found
2805 not found
9346 not found
8969 not found
1181 not found
6903 not found
2327 not found
212 not found
821 not found
6338 not found
6592 not found
92 not found
8615 not found
2173 not found
5339 not found
318 not found
1022 not found
2507 not found
2338 not found
6857 not found
195 not found
2976 not found
4556 not found
650 not found
3825 not found
315 not found
3496 not found
9066 not found
8889 not found
5458 not found
4187 not found
2315 not found
713 not found
1103 not found
9960 not found
1144 not found
622 not found
1217 not found
3512 not found
2844 not found
3807 not found
6938 not found
6169 not found
9263 not found
4957 not found
4435 not found
5356 not found
4213 not found
3004 not found
1192 not found
6504 not found
8807 not found
5258 not found
4494 not found
678 not found
6619 not found
7418 not found
1170 not found
8971 not found
3153 not found
9200 not found
5910 not found
8689 not found
2310 not found
8101 not found
8757 not found
4383 not found
6363 not found
4612 not found
1157 not found
5978 not found
5782 not found
9649 not found
2974 not found
9333 not found
8309 not found
259 not found
4671 found at 88
5999 not found
5707 not found
8287 not found
6831 found at 139
5828 not found
1695 not found
7035 not found
9390 not found
4473 not found
7651 not found
3930 not found
6655 not found
2999 not found
3970 not found
9847 not found
9842 not found
3483 not found
8892 not found
2352 not found
8638 not found
4411 not found
9365 not found
478 not found
8929 not found
7541 not found
3931 not found
3024 not found
9905 not found
1735 not found
5689 not found
7458 not found
8662 not found
1111 not found
2736 not found
1201 not found
281 not found
7011 not found
5355 not found
4878 not found
4891 not found
4043 not found
6131 not found
4738 not found
9071 not found
9368 not found
9131 not found
8990 not found
5690 not found
8863 not found
3357 not found
1814 not found
7892 not found
4554 not found
5950 not found
9905 not found
877 not found
9968 not found
9183 not found
2803 not found
4911 not found
7057 not found
608 not found
9182 not found
8053 not found
6585 not found
9670 not found
8685 not found
7820 not found
2632 not found
998 not found
9268 not found
5920 not found
7687 not found
9463 not found
695 not found
2855 not found
1689 not found
2756 not found
7045 found at 141
2157 not found
4363 not found
4372 not found
3999 not found
7771 not found
5787 not found
4171 not found
247 not found
6339 not found
9003 not found
2816 not found
9897 not found
876 not found
6620 not found
9669 not found
2255 not found
3842 not found
5483 not found
5921 not found
35 not found
2089 not found
4972 not found
9980 not found
6022 not found
4976 not found
4828 not found
9564 not found
9443 not found
7560 not found
7971 not found
5149 not found
9246 not found
4642 not found
8003 not found
8226 not found
1551 not found
6668 not found
1216 not found
6884 not found
118 not found
8247 not found
5312 not found
8428 not found
1254 not found
3291 not found
7831 not found
975 not found
1335 not found
9631 not found
9529 not found
1523 found at 29
7758 not found
2373 not found
6468 not found
6988 not found
6773 not found
795 not found
1541 not found
3379 not found
8492 not found
2511 not found
340 not found
3594 not found
5951 not found
2590 not found
9116 not found
9067 not found
4369 not found
833 not found
1748 not found
7052 not found
943 not found
9209 not found
2135 not found
CASE# 5:
220 not found
741 not found
2589 not found
865 not found
548 not found
4103 not found
6159 not found
7313 not found
1199 not found
2889 not found
1263 not found
578 not found
1857 not found
2825 not found
22 found at 1
6118 not found
3012 not found
7934 not found
1458 not found
5516 found at 413
3133 not found
1997 not found
5107 not found
769 not found
4432 not found
6536 not found
9508 not found
9380 not found
4702 not found
7411 not found
7700 not found
3081 not found
6659 not found
5001 not found
4915 not found
2711 not found
3807 not found
624 not found
4163 not found
3255 not found
8264 not found
1079 not found
1362 not found
6223 not found
3401 found at 264
5842 not found
1103 not found
3536 not found
1621 not found
5314 not found
2520 not found
8749 not found
9280 not found
487 not found
7706 not found
3516 not found
2571 not found
6677 not found
2818 not found
1412 not found
1162 not found
8227 not found
3667 not found
5643 not found
7971 not found
1981 not found
6040 not found
7955 not found
2119 found at 169
2923 not found
4223 not found
2356 not found
9268 not found
2653 not found
8180 not found
4034 not found
7826 not found
8737 not found
5743 not found
5746 not found
794 not found
7997 not found
4625 not found
9775 not found
710 not found
665 not found
5710 not found
997 not found
3208 found at 249
3595 not found
8314 not found
2180 not found
3006 not found
6889 not found
6400 not found
4011 not found
628 not found
7803 not found
4687 not found
4645 not found
2746 not found
4396 not found
6173 not found
9953 not found
8531 not found
2633 not found
8770 not found
7444 not found
5836 not found
2978 not found
6294 found at 477
9286 not found
155 not found
2652 not found
6785 not found
9928 not found
5570 not found
9693 not found
5517 not found
3865 not found
8094 not found
7863 not found
3569 not found
1230 not found
1549 not found
2505 not found
1111 not found
6893 found at 527
1473 not found
5809 found at 438
7989 not found
1148 not found
7533 not found
438 not found
1110 not found
7719 not found
291 not found
5709 not found
1840 not found
1909 not found
311 not found
1089 not found
5041 not found
9979 found at 786
6909 found at 530
618 found at 46
4021 not found
4264 not found
9435 not found
4272 not found
9484 not found
6531 not found
2315 not found
7626 not found
2558 not found
8483 not found
660 not found
212 not found
7498 not found
6968 not found
4263 not found
9151 not found
5767 not found
9598 not found
7161 not found
7396 not found
2077 not found
9645 not found
6979 not found
8345 not found
6595 not found
1207 not found
7012 not found
8201 not found
2420 not found
1907 not found
5033 not found
6246 not found
3526 not found
5355 not found
7360 not found
9920 not found
7247 found at 560
6262 not found
3305 found at 254
1578 not found
5838 not found
4286 not found
5071 not found
4603 found at 349
5297 not found
3183 found at 245
9997 not found
9351 found at 729
6298 not found
6004 found at 454
2752 not found
469 not found
5295 found at 400
9779 not found
2981 not found
2791 not found
1741 not found
8923 not found
3362 not found
6715 not found
1982 not found
51 not found
3127 found at 242
5667 not found
9777 not found
5164 found at 388
7261 not found
5676 not found
2076 not found
2447 not found
7066 not found
1247 found at 92
2324 not found
5901 not found
184 not found
6274 not found
6797 not found
4735 not found
3896 not found
7384 not found
2774 not found
7356 not found
8695 not found
3538 found at 273
2370 not found
520 not found
7061 not found
1502 not found
9500 not found
6581 not found
9743 not found
6192 not found
9704 not found
3080 not found
7940 not found
4378 not found
5531 not found
8806 not found
9463 not found
453 not found
2442 not found
6888 not found
2301 not found
7840 found at 606
3639 not found
1744 not found
3620 not found
9315 not found
776 not found
6003 not found
4087 not found
226 not found
553 not found
9156 not found
28 not found
9699 not found
7301 not found
1625 not found
6712 not found
1470 not found
2192 not found
266 not found
7225 not found
9052 not found
8458 not found
1926 not found
3730 found at 290
7138 not found
8048 not found
5689 found at 428
530 not found
437 not found
7304 not found
2463 not found
5119 not found
9005 not found
5904 not found
5799 not found
1513 not found
3331 not found
7744 not found
1783 not found
9064 found at 704
2774 not found
915 not found
5792 not found
7441 not found
227 not found
2315 not found
7773 not found
8047 not found
7181 found at 553
6724 not found
2104 not found
7102 not found
1492 not found
7286 not found
1351 not found
7734 not found
3877 not found
9919 not found
8332 not found
8106 not found
5670 not found
8118 not found
3969 not found
4628 not found
7888 not found
5535 not found
7421 not found
2683 not found
6294 found at 477
99 not found
5760 not found
9790 not found
2146 not found
3222 not found
4671 not found
4804 not found
7014 not found
8707 not found
6328 not found
2615 not found
7464 not found
967 not found
9589 found at 752
8563 not found
6839 not found
5988 not found
2925 not found
5918 not found
1340 not found
7070 not found
2754 not found
5793 not found
718 not found
4520 not found
1827 not found
927 not found
1356 not found
1687 not found
4064 not found
319 not found
9969 not found
7242 not found
5094 not found
4032 not found
2780 not found
5374 not found
1333 not found
4730 found at 354
8206 not found
3856 not found
8418 not found
2776 not found
6121 not found
3014 not found
7756 not found
7582 not found
795 not found
8089 not found
8493 not found
2482 found at 192
4418 not found
5053 not found
5 not found
5381 not found
7184 not found
6698 found at 515
8928 not found
2388 not found
3149 not found
2959 not found
4187 not found
6984 not found
414 found at 31
4698 found at 352
2745 not found
5201 not found
1096 not found
2919 not found
6687 not found
8817 not found
6537 not found
2969 not found
1342 found at 103
7757 not found
9179 not found
5534 not found
6582 not found
5543 not found
317 not found
3877 not found
2945 not found
9863 not found
1996 found at 163
4301 found at 334
7452 not found
3918 not found
7822 not found
9804 not found
8242 not found
198 not found
6814 not found
6424 not found
4438 not found
4138 not found
6774 not found
8782 not found
5702 not found
6264 not found
7236 not found
7761 not found
4506 not found
9918 not found
9818 not found
3338 found at 258
997 not found
5600 not found
7349 not found
6368 not found
4882 not found
955 not found
8063 not found
2678 not found
1846 found at 148
2028 not found
4727 not found
9800 not found
8659 found at 672
2953 found at 229
9922 not found
4917 not found
4317 found at 336
4371 not found
8578 not found
1499 not found
8720 not found
7127 not found
960 not found
8906 not found
2826 not found
1527 not found
7012 not found
6331 not found
2315 not found
2718 not found
9702 not found
7490 not found
7708 not found
6372 not found
867 not found
2763 found at 215
1952 not found
697 not found
4293 not found
8636 not found
4966 not found
2509 not found
5571 not found
5479 not found
2149 not found
7266 not found
5356 not found
6539 not found
8496 not found
7550 not found
2409 not found
4332 not found
9441 not found
1345 not found
3562 not found
7422 not found
9795 not found
7672 not found
1642 not found
3601 not found
2042 not found
8114 not found
5552 not found
6026 not found
1892 not found
8469 not found
9508 not found
9745 found at 764
8386 not found
4455 not found
5912 not found
7161 not found
5691 not found
9237 not found
3657 found at 283
9544 not found
871 not found
9092 not found
4525 not found
4700 not found
7724 not found
1975 not found
9458 not found
9080 not found
6602 not found
4643 not found
489 not found
3878 not found
9057 not found
8157 not found
5088 not found
5042 not found
32 not found
6356 not found
5064 not found
8002 not found
7802 not found
9158 not found
4033 not found
3387 not found
2696 not found
7124 not found
8600 not found
4032 not found
6805 not found
2 not found
4717 not found
6537 not found
8478 not found
7781 not found
6064 not found
4359 not found
4623 not found
5290 not found
2185 not found
711 not found
3194 not found
7668 not found
3144 not found
4537 not found
3020 not found
2669 not found
4789 not found
6373 not found
5499 not found
7137 not found
1196 found at 86
7869 not found
1226 not found
7610 not found
3666 not found
3640 not found
8028 found at 620
364 not found
6267 not found
220 not found
2995 not found
3797 not found
144 not found
4574 not found
32 not found
784 not found
2715 not found
6038 not found
3074 not found
5692 not found
5461 not found
6243 not found
3497 found at 270
8774 not found
171 not found
6060 not found
4552 found at 347
5458 not found
967 not found
5248 not found
614 not found
9988 not found
5160 not found
1864 found at 150
1657 not found
30 not found
7300 not found
7450 not found
7990 not found
3690 found at 285
1414 not found
2541 not found
3355 not found
4368 not found
9237 not found
9405 not found
5734 not found
3873 not found
7005 not found
4641 not found
6243 not found
1333 not found
9571 not found
1622 not found
3631 not found
2664 not found
624 not found
1631 not found
8051 not found
1104 not found
2866 not found
3855 not found
3717 not found
9681 not found
5547 found at 415
495 not found
3200 not found
3669 not found
5072 not found
3239 not found
3716 not found
5290 not found
5074 not found
4082 not found
9605 not found
5959 not found
1831 not found
3146 not found
5382 not found
3691 not found
4417 not found
5083 not found
5523 found at 414
9061 not found
7635 not found
2029 not found
5310 not found
8636 not found
1529 not found
3738 not found
5072 not found
8570 not found
2329 not found
2212 not found
7380 not found
6036 not found
3842 not found
8391 not found
2725 not found
5170 not found
3078 not found
4064 not found
4645 not found
8232 not found
3910 not found
4714 not found
5028 not found
3045 not found
9611 not found
4902 not found
6031 not found
402 not found
8559 not found
4012 not found
3587 not found
2810 not found
4325 not found
719 not found
9416 not found
2201 not found
8828 not found
CASE# 6:
5135 found at 338
201 not found
3180 not found
1562 not found
1352 not found
3856 not found
5709 not found
7416 not found
425 not found
884 not found
2450 not found
5390 not found
3896 not found
8068 not found
1107 not found
7772 found at 521
2341 not found
5680 not found
6512 not found
7546 not found
3119 not found
2490 not found
6555 not found
2489 not found
4916 not found
8324 not found
5850 not found
1312 not found
5169 not found
3862 not found
913 not found
4460 not found
5842 not found
5934 not found
2908 found at 197
2487 not found
4009 not found
1905 not found
4853 not found
4043 not found
7264 not found
5405 not found
9822 not found
2838 not found
1531 not found
4265 not found
9524 not found
2663 not found
1769 not found
6696 not found
7341 not found
2750 not found
4166 not found
4909 not found
4719 not found
8360 not found
4799 not found
5533 not found
7902 not found
946 not found
7155 not found
1380 not found
8792 not found
6192 not found
4847 not found
9268 not found
725 not found
6672 not found
7895 not found
7378 not found
711 found at 43
7594 not found
921 not found
6986 not found
9095 not found
4047 not found
4101 found at 267
2614 not found
430 not found
4924 not found
942 not found
774 not found
7247 not found
5115 not found
7680 not found
1446 not found
9278 not found
357 not found
7291 not found
4270 not found
2515 not found
3532 not found
9236 not found
3501 not found
6637 not found
5944 not found
6054 not found
1782 not found
4347 not found
9352 found at 637
6487 not found
8916 not found
8012 not found
8919 not found
693 not found
1901 not found
5326 not found
4730 not found
48 not found
3939 not found
9600 not found
1827 not found
7910 not found
1760 not found
604 not found
691 not found
1575 not found
5733 not found
6834 found at 450
5989 not found
411 not found
7372 not found
5711 not found
6463 not found
6404 not found
2362 not found
4742 not found
5943 not found
2063 not found
5609 not found
3328 not found
1886 not found
6120 not found
5196 not found
269 not found
8984 not found
8814 found at 587
7625 not found
8074 not found
1444 not found
8149 not found
5953 not found
5994 not found
8093 not found
6574 not found
8723 not found
3778 not found
4931 not found
6442 not found
1265 not found
9885 not found
5458 not found
8400 not found
8800 not found
1677 not found
3655 not found
9832 not found
4648 not found
2233 not found
2746 not found
5689 not found
3787 not found
8230 not found
9097 not found
5123 not found
4734 not found
3799 not found
8919 not found
6373 not found
7368 not found
2270 not found
8522 not found
8699 not found
5469 found at 357
6353 not found
7724 not found
9387 found at 638
7940 not found
3817 found at 248
9082 not found
2610 not found
8392 not found
3838 not found
6093 not found
9986 not found
8518 not found
5828 not found
5797 not found
2953 not found
6690 not found
3109 not found
4164 not found
5711 not found
1769 not found
726 not found
9457 not found
1671 not found
1898 not found
7941 not found
5149 not found
3143 not found
1028 not found
1950 not found
7443 not found
3321 not found
1451 not found
1466 not found
9326 found at 635
3287 not found
2853 not found
1560 not found
8112 not found
176 not found
9832 not found
1524 not found
1801 not found
1460 not found
129 not found
5085 not found
1655 not found
6408 not found
970 not found
7046 found at 467
263 not found
3082 not found
2760 not found
7295 not found
1651 not found
8021 found at 538
6082 not found
4166 not found
9416 not found
3958 not found
5906 not found
8681 not found
9612 not found
8979 not found
702 found at 42
1849 not found
527 not found
5359 not found
3248 not found
9710 not found
5062 not found
2210 not found
8428 found at 566
5922 found at 388
745 not found
7798 not found
3563 not found
2705 not found
5088 not found
787 not found
7721 not found
8776 not found
6311 not found
965 not found
2951 not found
8501 not found
8454 not found
6107 not found
8006 not found
6283 not found
2063 not found
4497 not found
8020 not found
9659 not found
1905 not found
3239 not found
3890 not found
5760 not found
2103 not found
927 not found
2307 not found
6741 not found
4708 not found
8470 not found
8258 not found
5855 not found
7840 not found
5657 not found
5087 not found
8489 not found
7160 not found
35 not found
5125 not found
5041 not found
7292 not found
